"","Resultat","Kon","Alder","Utbildare"
"416",TRUE,"Kvinna",18,"Trafikskola"
"417",TRUE,"Man",18,"Trafikskola"
"418",TRUE,"Kvinna",18,"Trafikskola"
"419",TRUE,"Kvinna",18,"Privatist"
"420",FALSE,"Man",18,"Privatist"
"421",TRUE,"Man",18,"Privatist"
"422",TRUE,"Man",18,"Trafikskola"
"423",TRUE,"Man",18,"Privatist"
"424",TRUE,"Man",18,"Privatist"
"425",FALSE,"Man",18,"Privatist"
"426",TRUE,"Kvinna",18,"Trafikskola"
"427",TRUE,"Man",18,"Privatist"
"428",TRUE,"Kvinna",18,"Privatist"
"429",TRUE,"Kvinna",18,"Privatist"
"430",FALSE,"Kvinna",18,"Trafikskola"
"431",TRUE,"Man",18,"Trafikskola"
"432",TRUE,"Man",18,"Privatist"
"433",FALSE,"Man",18,"Privatist"
"434",FALSE,"Man",18,"Privatist"
"435",FALSE,"Kvinna",18,"Trafikskola"
"436",TRUE,"Man",18,"Privatist"
"437",TRUE,"Man",18,"Privatist"
"438",TRUE,"Man",18,"Privatist"
"439",TRUE,"Man",18,"Privatist"
"440",FALSE,"Man",18,"Privatist"
"441",FALSE,"Kvinna",18,"Privatist"
"442",TRUE,"Man",18,"Trafikskola"
"443",TRUE,"Man",18,"Privatist"
"444",FALSE,"Kvinna",18,"Privatist"
"445",FALSE,"Man",18,"Privatist"
"446",TRUE,"Man",18,"Trafikskola"
"447",FALSE,"Kvinna",18,"Trafikskola"
"448",FALSE,"Man",18,"Privatist"
"449",TRUE,"Kvinna",18,"Trafikskola"
"450",TRUE,"Kvinna",18,"Trafikskola"
"451",TRUE,"Man",18,"Trafikskola"
"452",FALSE,"Kvinna",18,"Trafikskola"
"453",FALSE,"Man",18,"Privatist"
"454",FALSE,"Kvinna",18,"Privatist"
"455",TRUE,"Kvinna",18,"Trafikskola"
"456",FALSE,"Man",18,"Privatist"
"457",TRUE,"Man",18,"Trafikskola"
"458",FALSE,"Man",18,"Trafikskola"
"459",FALSE,"Man",18,"Privatist"
"460",TRUE,"Kvinna",18,"Trafikskola"
"461",TRUE,"Man",18,"Trafikskola"
"462",FALSE,"Man",18,"Privatist"
"463",TRUE,"Kvinna",18,"Trafikskola"
"464",FALSE,"Man",18,"Trafikskola"
"465",FALSE,"Man",18,"Privatist"
"466",FALSE,"Kvinna",18,"Trafikskola"
"467",TRUE,"Kvinna",18,"Trafikskola"
"468",FALSE,"Kvinna",18,"Privatist"
"469",TRUE,"Kvinna",18,"Trafikskola"
"470",FALSE,"Man",18,"Trafikskola"
"471",TRUE,"Man",18,"Trafikskola"
"472",TRUE,"Man",18,"Privatist"
"473",TRUE,"Kvinna",18,"Privatist"
"474",FALSE,"Man",18,"Privatist"
"475",TRUE,"Man",18,"Trafikskola"
"476",FALSE,"Man",18,"Trafikskola"
"477",TRUE,"Man",18,"Trafikskola"
"478",TRUE,"Man",18,"Privatist"
"479",FALSE,"Kvinna",18,"Privatist"
"480",TRUE,"Man",18,"Trafikskola"
"481",TRUE,"Man",18,"Privatist"
"482",TRUE,"Man",18,"Trafikskola"
"483",FALSE,"Man",18,"Trafikskola"
"484",FALSE,"Kvinna",18,"Trafikskola"
"485",TRUE,"Man",18,"Privatist"
"486",FALSE,"Man",18,"Trafikskola"
"487",FALSE,"Man",18,"Privatist"
"488",FALSE,"Kvinna",18,"Privatist"
"489",FALSE,"Kvinna",18,"Privatist"
"490",FALSE,"Man",18,"Privatist"
"491",FALSE,"Kvinna",18,"Trafikskola"
"492",FALSE,"Man",18,"Privatist"
"493",FALSE,"Kvinna",18,"Privatist"
"494",TRUE,"Kvinna",18,"Privatist"
"495",FALSE,"Kvinna",18,"Privatist"
"496",TRUE,"Man",18,"Trafikskola"
"497",TRUE,"Man",18,"Privatist"
